org_code,year,release_vintage,historical_value,value_in_2025_release,difference
RBV,2023,2023,5.305521519048846,5.30410266396007,0.0014188550887759277
RC9,2021,2023,4.77115990323263,4.761036028111508,0.010123875121122339
RC9,2022,2023,4.776481538259034,4.766217157259204,0.01026438099983018
RC9,2023,2023,5.013601033061672,5.004918845863357,0.008682187198314928
RCB,2021,2023,4.753398473473426,4.743934958284653,0.009463515188772753
RCB,2022,2023,4.720646684413238,4.711582445513709,0.009064238899529009
RCB,2023,2023,4.860966124160224,4.852111623397534,0.008854500762689455
RCD,2021,2023,4.733172800064338,4.72173676996282,0.01143603010151839
RCD,2022,2023,4.956135594282025,4.945785987349407,0.010349606932617661
RCD,2023,2023,5.203639210525661,5.196616624298439,0.007022586227221517
RCF,2021,2023,5.103690402175727,5.091882680726232,0.011807721449494935
RCF,2022,2023,5.042307418452224,5.029521186309714,0.012786232142509846
RCF,2023,2023,5.068509790697874,5.059497685111248,0.009012105586625907
RCU,2021,2023,4.899899238119196,4.88762864620215,0.012270591917046048
RCU,2022,2023,4.939439712781973,4.92732555066065,0.012114162121322991
RCU,2023,2023,5.120210414197664,5.115228614834801,0.004981799362862915
RCX,2021,2023,4.570371403575103,4.564933798827715,0.005437604747387859
RCX,2022,2023,4.66685826001918,4.659386240065665,0.007472019953515208
RCX,2023,2023,4.890852514567234,4.885107394142246,0.005745120424988315
RD1,2021,2023,4.76229048100821,4.751047494521112,0.011242986487098428
RD1,2022,2023,4.688481394737455,4.679564021973571,0.008917372763884046
RD1,2023,2023,4.96680113339255,4.959601890907884,0.00719924248466608
RD8,2021,2023,4.955517432223779,4.941807696417809,0.013709735805970347
RD8,2022,2023,4.982847122689182,4.971323166295756,0.011523956393426182
RD8,2023,2023,5.117492434359958,5.106136652766651,0.011355781593307412
RDE,2021,2023,4.73313673916087,4.721111978769326,0.012024760391544653
RDE,2022,2023,4.746566267094447,4.734100909514378,0.012465357580068392
RDE,2023,2023,4.998233055443656,4.987204602550461,0.01102845289319454
RDR,2021,2023,5.19417155383959,5.178880557410732,0.015290996428857895
RDR,2022,2023,5.235805378632572,5.220379677349811,0.015425701282760329
RDR,2023,2023,5.494647771531131,5.482160331245555,0.012487440285576135
RDU,2021,2023,4.850855657187525,4.839168878422871,0.011686778764653738
RDU,2022,2023,4.822170751682302,4.809418829766971,0.012751921915331366
RDU,2023,2023,5.134092306134286,5.122708549398665,0.011383756735621198
RDY,2021,2023,5.341049839918019,5.330148158110468,0.010901681807550467
RDY,2022,2023,5.3091648176393,5.294529119232099,0.01463569840720158
RDY,2023,2023,5.422807776125705,5.410262907814083,0.012544868311621826
REF,2021,2023,4.75819266959113,4.748642267129509,0.00955040246162131
REF,2022,2023,4.732988439534011,4.720507241340084,0.012481198193926346
REF,2023,2023,4.980724349091603,4.969926258831205,0.010798090260397686
REM,2021,2023,4.762307123681439,4.751930221200583,0.01037690248085621
REM,2022,2023,4.693586874786781,4.68147124243733,0.012115632349450678
REM,2023,2023,5.029670410747702,5.022596462239616,0.007073948508085515
REN,2021,2023,5.155551440458961,5.162462854957068,-0.006911414498107504
REN,2022,2023,5.233838616785439,5.241544480951959,-0.007705864166520193
REN,2023,2023,5.439727445484563,5.446171466193752,-0.006444020709188258
REP,2021,2023,4.979193877018004,4.975701535056141,0.0034923419618637652
REP,2022,2023,4.957643053661322,4.964040189216081,-0.006397135554759181
REP,2023,2023,5.086119227524592,5.090223347578175,-0.00410412005358296
RET,2021,2023,5.170880191913785,5.180730143670809,-0.0098499517570243
RET,2022,2023,5.234625764610481,5.235022127628102,-0.00039636301762069337
RET,2023,2023,5.320172420604154,5.322116617348914,-0.001944196744759985
RF4,2021,2023,4.66439735220044,4.657606162753964,0.006791189446475165
RF4,2022,2023,4.700577521236721,4.689659678632206,0.010917842604515116
RF4,2023,2023,4.757883884819303,4.750859623149675,0.007024261669627663
RFF,2021,2023,4.957276401233731,4.946326025170356,0.010950376063375344
RFF,2022,2023,5.032698926009358,5.017642074560101,0.01505685144925728
RFF,2023,2023,5.254530819454101,5.238106064343751,0.01642475511035002
RFR,2021,2023,4.78625816051651,4.775425331879525,0.010832828636985425
RFR,2022,2023,4.915948267473127,4.904808809976496,0.0111394574966317
RFR,2023,2023,5.128367400160893,5.121828844847705,0.006538555313187366
RFS,2021,2023,4.942049097534896,4.935860062794004,0.006189034740891941
RFS,2022,2023,4.984751708640646,4.976763863436148,0.007987845204497468
RFS,2023,2023,5.260902215939883,5.254333293494313,0.006568922445569392
RGD,2021,2023,5.193487095279632,5.180537531855853,0.012949563423779509
RGD,2022,2023,5.12449474575852,5.110123300831251,0.01437144492726894
RGD,2023,2023,5.371327775749858,5.36003553296598,0.011292242783878415
RGM,2021,2023,4.931952895207205,4.939799798708673,-0.007846903501468105
RGM,2022,2023,4.839604443667245,4.847850893933003,-0.008246450265758654
