org_code,org_name,benchmark_group,is_trust,available_years,complete_five_year_history,official_2025_no_history,comparability_reason
RWE,University Hospitals of Leicester NHS Trust,Acute&Acute Community Trusts,1,2021;2022;2023;2024;2025,1,0,All five official histories available
RWF,Maidstone and Tunbridge Wells NHS Trust,Acute&Acute Community Trusts,1,2021;2022;2023;2024;2025,1,0,All five official histories available
RWG,West Hertfordshire Teaching Hospitals NHS Trust,Acute&Acute Community Trusts,1,2021;2022;2023;2024;2025,1,0,All five official histories available
RWH,East and North Hertfordshire Teaching NHS Trust,Acute&Acute Community Trusts,1,2021;2022;2023;2024;2025,1,0,All five official histories available
RWJ,Stockport NHS Foundation Trust,Acute&Acute Community Trusts,1,2021;2022;2023;2024;2025,1,0,All five official histories available
RWK,East London NHS Foundation Trust,"MH&LD, MH, LD&Community Trusts",1,2023;2024;2025,0,0,Historical sample-drawing errors; 2023 guide supersedes earlier 2022 cutoff
RWP,Worcestershire Acute Hospitals NHS Trust,Acute&Acute Community Trusts,1,2021;2022;2023;2024;2025,1,0,All five official histories available
RWR,Hertfordshire Partnership University NHS Foundation Trust,"MH&LD, MH, LD&Community Trusts",1,2021;2022;2023;2024;2025,1,0,All five official histories available
RWV,Devon Partnership NHS Trust,"MH&LD, MH, LD&Community Trusts",1,2021;2022;2023;2024;2025,1,0,All five official histories available
RWW,Warrington and Halton Teaching Hospitals NHS Foundation Trust,Acute&Acute Community Trusts,1,2021;2022;2023;2024;2025,1,0,All five official histories available
RWX,Berkshire Healthcare NHS Foundation Trust,"MH&LD, MH, LD&Community Trusts",1,2021;2022;2023;2024;2025,1,0,All five official histories available
RWY,Calderdale and Huddersfield NHS Foundation Trust,Acute&Acute Community Trusts,1,2021;2022;2023;2024;2025,1,0,All five official histories available
RX1,Nottingham University Hospitals NHS Trust,Acute&Acute Community Trusts,1,2021;2022;2023;2024;2025,1,0,All five official histories available
RX2,Sussex Partnership NHS Foundation Trust,"MH&LD, MH, LD&Community Trusts",1,2024;2025,0,0,CAMHS transfer from RX2 to RW1; no comparable pre-2024 history
RX3,"Tees, Esk and Wear Valleys NHS Foundation Trust","MH&LD, MH, LD&Community Trusts",1,2021;2022;2023;2024;2025,1,0,All five official histories available
RX4,"Cumbria, Northumberland, Tyne and Wear NHS Foundation Trust","MH&LD, MH, LD&Community Trusts",1,2021;2022;2023;2024;2025,1,0,All five official histories available
RX6,North East Ambulance Service NHS Foundation Trust,Ambulance Trusts,1,2021;2022;2023;2024;2025,1,0,All five official histories available
RX7,North West Ambulance Service NHS Trust,Ambulance Trusts,1,2021;2022;2023;2024;2025,1,0,All five official histories available
RX8,Yorkshire Ambulance Service NHS Trust,Ambulance Trusts,1,2021;2022;2023;2024;2025,1,0,All five official histories available
RX9,East Midlands Ambulance Service NHS Trust,Ambulance Trusts,1,2021;2022;2023;2024;2025,1,0,All five official histories available
RXA,Cheshire and Wirral Partnership NHS Foundation Trust,"MH&LD, MH, LD&Community Trusts",1,2021;2022;2023;2024;2025,1,0,All five official histories available
RXC,East Sussex Healthcare NHS Trust,Acute&Acute Community Trusts,1,2021;2022;2023;2024;2025,1,0,All five official histories available
RXE,Rotherham Doncaster and South Humber NHS Foundation Trust,"MH&LD, MH, LD&Community Trusts",1,2021;2022;2023;2024;2025,1,0,All five official histories available
RXF,Mid Yorkshire Teaching NHS Trust,Acute&Acute Community Trusts,1,2021;2022;2023;2024;2025,1,0,All five official histories available
RXG,South West Yorkshire Partnership NHS Foundation Trust,"MH&LD, MH, LD&Community Trusts",1,2021;2022;2023;2024;2025,1,0,All five official histories available
