scenario,weighted,kappa,validation_kappa,audit_cost,budget,units,k,policy,ordinary_count_mean,validation_count_mean,mean_estimate,reference,state
unweighted_uniform,False,0.0,0.0,2,48,48,9,bias_blind_kg,32.68,0.0,8.576716971853365,8.757779437391088,33
unweighted_uniform,False,0.0,0.0,2,48,48,9,bias_blind_kg,36.2,0.0,8.56862680373424,8.648255191607793,34
unweighted_uniform,False,0.0,0.0,2,48,48,9,bias_blind_kg,45.12,0.0,8.531089577141197,8.344547053649956,35
unweighted_uniform,False,0.0,0.0,2,48,48,9,bias_blind_kg,41.44,0.0,8.557481402537663,8.55199342375668,36
unweighted_uniform,False,0.0,0.0,2,48,48,9,bias_blind_kg,41.12,0.0,8.552327029408552,8.525340283811179,37
unweighted_uniform,False,0.0,0.0,2,48,48,9,bias_blind_kg,30.54,0.0,8.586692987031444,8.852889474840696,38
unweighted_uniform,False,0.0,0.0,2,48,48,9,bias_blind_kg,41.54,0.0,8.553197352083188,8.497960372960375,39
unweighted_uniform,False,0.0,0.0,2,48,48,9,bias_blind_kg,41.6,0.0,8.548848911284185,8.43805003460892,40
unweighted_uniform,False,0.0,0.0,2,48,48,9,bias_blind_kg,49.52,0.0,8.517122797618248,8.179193899782135,41
unweighted_uniform,False,0.0,0.0,2,48,48,9,bias_blind_kg,35.84,0.0,8.574188057743402,8.715135738192634,44
